determined_at,type,special_key,meta_key,target.target_id,masked_key,gid,target.target_type,shift_key,control_key
51318,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1103.0,55234539,email,,
51571,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7799.0,55234539,email,,
51599,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7799.0,55234539,email,,
52530,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,117.0,55234539,email,,
52622,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,67.0,55234539,email,,
52669,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,117.0,55234539,email,,
52695,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,67.0,55234539,email,,
52872,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7725.0,55234539,email,,
52964,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7725.0,55234539,email,,
53027,KEY_DOWN,Shift,,e419caa7-3217-4e14-aa99-551e8dc381ae,,55234539,email,True,
53190,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,247.0,55234539,email,True,
53297,KEY_UP,Shift,,e419caa7-3217-4e14-aa99-551e8dc381ae,,55234539,email,,
53329,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,109.0,55234539,email,,
53705,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,67.0,55234539,email,,
53797,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,67.0,55234539,email,,
53932,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,85.0,55234539,email,,
54019,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1103.0,55234539,email,,
54069,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,85.0,55234539,email,,
54181,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1103.0,55234539,email,,
54196,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1127.0,55234539,email,,
54328,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1127.0,55234539,email,,
55164,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7829.0,55234539,email,,
55277,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,351.0,55234539,email,,
55347,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7829.0,55234539,email,,
55394,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,351.0,55234539,email,,
55454,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,67.0,55234539,email,,
55568,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,67.0,55234539,email,,
55627,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,87.0,55234539,email,,
55738,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,87.0,55234539,email,,
55755,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,436.0,55234539,email,,
55827,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,436.0,55234539,email,,
55902,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,70.0,55234539,email,,
55991,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1127.0,55234539,email,,
56041,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,70.0,55234539,email,,
56086,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1127.0,55234539,email,,
56189,KEY_DOWN,Tab,,e419caa7-3217-4e14-aa99-551e8dc381ae,,55234539,email,,
56303,KEY_UP,Tab,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,,55234539,password,,
59379,KEY_DOWN,Shift,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,,55234539,password,True,
59495,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,78.0,55234539,password,True,
59627,KEY_UP,Shift,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,,55234539,password,,
59633,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,71.0,55234539,password,,
59797,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,88.0,55234539,password,,
59889,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,88.0,55234539,password,,
60972,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,1038.0,55234539,password,True,
61086,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,1038.0,55234539,password,True,
61153,KEY_UP,Shift,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,,55234539,password,,
61328,KEY_DOWN,Enter,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,,55234539,password,,
60026,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,609.0,55234539,password,,
60094,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,609.0,55234539,password,,
60163,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,609.0,55234539,password,,
60248,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,1088.0,55234539,password,,
60260,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,609.0,55234539,password,,
60302,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,7907.0,55234539,password,,
60369,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,1088.0,55234539,password,,
60419,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,7907.0,55234539,password,,
60551,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,7694.0,55234539,password,,
60643,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,633.0,55234539,password,,
60693,KEY_DOWN,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,442.0,55234539,password,,
60737,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,7694.0,55234539,password,,
60744,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,633.0,55234539,password,,
60812,KEY_UP,,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,442.0,55234539,password,,
60854,KEY_DOWN,Shift,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,,55234539,password,True,
1898,KEY_DOWN,Meta,True,65cd98e7-9814-45c2-a30d-c667da9c35e4,,55234539,body,,
2036,KEY_DOWN,,True,65cd98e7-9814-45c2-a30d-c667da9c35e4,1151.0,55234539,body,,
